,ProductID,Location,Quantity
63,P063,Los Angeles,128
77,P077,Los Angeles,156
44,P044,Los Angeles,160
5,P005,Los Angeles,163
28,P028,Los Angeles,172
26,P026,Los Angeles,182
40,P040,Los Angeles,183
60,P060,Los Angeles,186
27,P027,Los Angeles,191
67,P067,Los Angeles,195
99,P099,Los Angeles,195
61,P061,Los Angeles,196
34,P034,Los Angeles,197
21,P021,Los Angeles,199
8,P008,Los Angeles,199
39,P039,Los Angeles,201
14,P014,Los Angeles,204
9,P009,Los Angeles,204
43,P043,Los Angeles,207
37,P037,Los Angeles,207
52,P052,Los Angeles,209
11,P011,Los Angeles,209
0,P000,Los Angeles,209
48,P048,Los Angeles,210
29,P029,Los Angeles,211
86,P086,Los Angeles,212
57,P057,Los Angeles,213
30,P030,Los Angeles,213
81,P081,Los Angeles,217
78,P078,Los Angeles,219
47,P047,Los Angeles,220
76,P076,Los Angeles,221
15,P015,Los Angeles,223
90,P090,Los Angeles,224
53,P053,Los Angeles,224
71,P071,Los Angeles,225
59,P059,Los Angeles,227
10,P010,Los Angeles,229
2,P002,Los Angeles,229
93,P093,Los Angeles,230
12,P012,Los Angeles,232
94,P094,Los Angeles,233
75,P075,Los Angeles,233
17,P017,Los Angeles,233
16,P016,Los Angeles,234
25,P025,Los Angeles,235
56,P056,Los Angeles,235
66,P066,Los Angeles,235
42,P042,Los Angeles,236
89,P089,Los Angeles,237
84,P084,Los Angeles,238
80,P080,Los Angeles,238
62,P062,Los Angeles,238
74,P074,Los Angeles,239
13,P013,Los Angeles,240
95,P095,Los Angeles,244
50,P050,Los Angeles,245
33,P033,Los Angeles,246
36,P036,Los Angeles,247
4,P004,Los Angeles,249
20,P020,Los Angeles,249
64,P064,Los Angeles,250
96,P096,Los Angeles,251
91,P091,Los Angeles,254
6,P006,Los Angeles,255
73,P073,Los Angeles,255
23,P023,Los Angeles,257
19,P019,Los Angeles,258
82,P082,Los Angeles,259
1,P001,Los Angeles,261
35,P035,Los Angeles,263
55,P055,Los Angeles,263
49,P049,Los Angeles,264
38,P038,Los Angeles,266
51,P051,Los Angeles,266
3,P003,Los Angeles,266
87,P087,Los Angeles,268
70,P070,Los Angeles,268
72,P072,Los Angeles,269
83,P083,Los Angeles,270
68,P068,Los Angeles,270
98,P098,Los Angeles,276
22,P022,Los Angeles,276
41,P041,Los Angeles,281
65,P065,Los Angeles,282
54,P054,Los Angeles,284
46,P046,Los Angeles,285
7,P007,Los Angeles,292
69,P069,Los Angeles,292
79,P079,Los Angeles,293
97,P097,Los Angeles,294
24,P024,Los Angeles,297
85,P085,Los Angeles,304
32,P032,Los Angeles,308
31,P031,Los Angeles,314
92,P092,Los Angeles,323
45,P045,Los Angeles,324
88,P088,Los Angeles,332
58,P058,Los Angeles,354
18,P018,Los Angeles,373
