,ProductID,Location,Quantity
51,P051,New York,146
74,P074,New York,155
26,P026,New York,156
10,P010,New York,170
19,P019,New York,171
98,P098,New York,173
16,P016,New York,175
42,P042,New York,176
85,P085,New York,182
83,P083,New York,184
62,P062,New York,187
69,P069,New York,189
11,P011,New York,189
31,P031,New York,196
92,P092,New York,197
88,P088,New York,199
81,P081,New York,199
50,P050,New York,200
9,P009,New York,201
43,P043,New York,203
72,P072,New York,204
84,P084,New York,204
93,P093,New York,206
66,P066,New York,206
95,P095,New York,209
97,P097,New York,211
78,P078,New York,213
63,P063,New York,215
80,P080,New York,216
58,P058,New York,216
5,P005,New York,216
2,P002,New York,216
38,P038,New York,219
4,P004,New York,219
36,P036,New York,219
53,P053,New York,220
77,P077,New York,220
8,P008,New York,221
21,P021,New York,221
14,P014,New York,222
56,P056,New York,222
32,P032,New York,225
46,P046,New York,225
7,P007,New York,225
65,P065,New York,228
75,P075,New York,228
13,P013,New York,230
54,P054,New York,230
90,P090,New York,231
23,P023,New York,232
3,P003,New York,233
89,P089,New York,233
55,P055,New York,233
70,P070,New York,235
79,P079,New York,236
20,P020,New York,239
94,P094,New York,241
0,P000,New York,241
24,P024,New York,243
64,P064,New York,244
34,P034,New York,245
30,P030,New York,245
99,P099,New York,245
86,P086,New York,247
25,P025,New York,248
44,P044,New York,250
57,P057,New York,250
52,P052,New York,250
22,P022,New York,251
17,P017,New York,252
76,P076,New York,253
12,P012,New York,254
37,P037,New York,258
60,P060,New York,262
33,P033,New York,265
39,P039,New York,267
29,P029,New York,269
68,P068,New York,271
15,P015,New York,272
61,P061,New York,273
40,P040,New York,279
6,P006,New York,279
45,P045,New York,280
73,P073,New York,280
91,P091,New York,283
59,P059,New York,284
18,P018,New York,284
82,P082,New York,285
49,P049,New York,288
47,P047,New York,291
27,P027,New York,295
96,P096,New York,299
1,P001,New York,302
71,P071,New York,305
41,P041,New York,306
35,P035,New York,311
28,P028,New York,322
87,P087,New York,325
48,P048,New York,356
67,P067,New York,380
